video_title,author,comment,video_likes
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@mcx-f5l,Bro sounded like Anatoly ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@JoeSir-x1r,You are so much fun and and a joy to watch.  Love your energy,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@user-zg5ey1zk6s,0:30 yes but you say because of your sponsor every time ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@leinad8766,This format is the best I really enjoy it,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@aljrich1135,Xiaoman just out here doing side quests and I’m here for it ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@CeeTee-12345,"Keep showing up at the businesses. Fun new angle. Better, these businesses get highlighted in these hard financial times..",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Psiikix,"Im sure this will get lost in the comments, but im interested in going to china. but i want to do it for the culture and history rather than the usual touristy spots. kinda like learning about china in general. If anyone has any recommendations, id be open to suggestions on locations that is open for this.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Rondo2ooo,"Despite him not knowing well the job, the moment he spoke Chinese the whole interaction changed. Languages are so powerful. ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@pdrey100,Xiaoma was channeling Antoly!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@bojing658,I freaking love this episode you got all of them bamboozled and flabbergasted,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@helei13,getting hired in every proffession now,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Boo-jy5ju,You look so much better!  Stay healthy for your family.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@BeachJazzMusic,This is so great. Have you been watching Anatoly?,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@marybridges1962,"I love him, he’s so creative! And very intelligent. the videos are always well put together and amazing! Can’t wait to see the next video and what he comes up with!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@FirstnameLastname-rc8yd,9:03 had me laughing so hard. Love this guy though. Wish my brain gave me a dialectical ability. I’m a musical “polyglot” though so I have to cling to that.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Dillonpickle,The bad accent was gold. So funny. Smart that businesses are using him for a cameo,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@aliciaerickson9862,The customer is such a nice guy!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@CominInHeavy,I laughed throughout this whole video!  The staff playing along and chiding the customers was funny af.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@patco258,"Dude - I am just so impressed not just with the video, but how well you have done in your personal health! I'm working to lose 60 lbs myself and again just really impressed what you have done. 

Video was fun to watch as always of course as well.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@coder3695,Amazing i love the series where you act in a Chinese store as employee! More more more! I want restuarant part 2!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@TheXocx,Love this Format!!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@ilovepivette,"Great video man, love this new format !",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@abadran8174,I see you went for the Borat accent here... Excellent choice LOL,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@cgpylesful,"Ari, congratulations on your health and wellness journey. You look amazing!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@oggaist,why is he doing a Borat impression,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@tomsawyer8102,"I'm definitely liking the surprise customer arch!!!

Keep doing more of these they are really funny ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@friend_for_you,"Like with a restaurant, it's so cool!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@shawn_bullock,"When I win the game, I go back and do side-quests.  Xiaoman is doing side quests these days.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@lenanicole2837,"I'm LOVING these, SO Wholesome too seriously ",0
